id,device_id,ts,activity,pp1,pp2,pp3,,action,power,power2,running
79472,3433,2024-05-17T21:22:24,running,,,,,,,40,true
79474,3433,2024-05-17T21:22:40,running,,,,,,,40,true
79476,3433,2024-05-17T21:22:55,running,,,,,,,45,true
79478,3433,2024-05-17T21:23:10,running,,,,,,,40,true
79480,3433,2024-05-17T21:23:25,running,,,,,,,41,true
79482,3433,2024-05-17T21:23:41,running,,,,,,,45,true
79484,3433,2024-05-17T21:23:56,running,,,,,,,30,true
79486,3433,2024-05-17T21:24:11,running,,,,,,,43,true
79488,3433,2024-05-17T21:24:26,running,,,,,,,36,true
79490,3433,2024-05-17T21:24:42,running,,,,,,,57,true
79492,3433,2024-05-17T21:24:57,running,,,,,,,41,true
79493,3433,2024-05-17T21:25:12,running,,,,,,,34,true
79494,3433,2024-05-17T21:25:28,running,,,,,,,43,true
79496,3433,2024-05-17T21:25:43,running,,,,,,,43,true
79498,3433,2024-05-17T21:25:58,running,,,,,,,43,true
79500,3433,2024-05-17T21:26:13,running,,,,,,,52,true
79502,3433,2024-05-17T21:26:29,running,,,,,,,41,true
79504,3433,2024-05-17T21:26:44,running,,,,,,,48,true
79506,3433,2024-05-17T21:26:59,running,,,,,,,44,true
79508,3433,2024-05-17T21:27:15,running,,,,,,,37,true
79510,3433,2024-05-17T21:27:30,running,,,,,,,42,true
79512,3433,2024-05-17T21:27:45,running,,,,,,,40,true
79514,3433,2024-05-17T21:28:00,running,,,,,,,41,true
79516,3433,2024-05-17T21:28:16,running,,,,,,,187,true
79518,3433,2024-05-17T21:28:31,running,,,,,,,34,true
79520,3433,2024-05-17T21:28:46,running,,,,,,,38,true
